distance,name,sd
159827.28,doc2vec_100_20_10,0.2382177
154589.95,doc2vec_200_20_10,0.24456331
153955.22,doc2vec_300_20_10,0.24065827
151397.5,doc2vec_500_20_10,0.24624573
149935.3,doc2vec_400_20_10,0.24279799
149243.9,doc2vec_600_20_10,0.24264792
148582.34,doc2vec_900_20_10,0.24210559
148163.81,doc2vec_700_20_10,0.24619369
147781.75,doc2vec_800_20_10,0.24844168
145755.25,doc2vec_100_10_10,0.23265998
143843.98,doc2vec_200_10_10,0.23546758
141250.97,doc2vec_300_10_10,0.23623501
139144.47,doc2vec_400_10_10,0.2410753
138359.22,doc2vec_500_10_10,0.24094276
137811.44,doc2vec_600_10_10,0.24426241
137723.55,doc2vec_700_10_10,0.24468124
136851.94,doc2vec_800_10_10,0.243933
136021.88,doc2vec_900_10_10,0.2405835
123026.68,doc2vec_100_5_10,0.23323844
118233.41,doc2vec_200_5_10,0.24269737
115402.83,doc2vec_300_5_10,0.24568549
114365.234,doc2vec_400_5_10,0.24673486
113873.05,doc2vec_500_5_10,0.24512874
113136.29,doc2vec_600_5_10,0.24486415
111914.23,doc2vec_700_5_10,0.24102838
110888.445,doc2vec_900_5_10,0.24488789
110870.17,doc2vec_800_5_10,0.2567076
104779.24,doc2vec_100_20_40,0.23323113
102734.11,doc2vec_200_20_40,0.24119717
100589.016,doc2vec_300_20_40,0.23929624
100227.734,doc2vec_400_20_40,0.2411835
100071.5,doc2vec_500_20_40,0.23670085
98982.16,doc2vec_600_20_40,0.23741363
98932.14,doc2vec_800_20_40,0.24317001
98340.734,doc2vec_700_20_40,0.24367288
98047.19,doc2vec_900_20_40,0.24271603
97222.16,doc2vec_100_10_40,0.23663256
95547.75,doc2vec_200_10_40,0.24373806
93083.8,doc2vec_300_10_40,0.23993704
92653.625,doc2vec_400_10_40,0.24456458
91754.086,doc2vec_500_10_40,0.23920096
91635.125,doc2vec_700_10_40,0.2442336
91471.72,doc2vec_600_10_40,0.24106589
91294.87,doc2vec_800_10_40,0.24425557
91167.05,doc2vec_100_20_60,0.24519955
90811.19,doc2vec_900_10_40,0.24505746
88961.31,doc2vec_200_20_60,0.2406275
88512.555,doc2vec_400_20_60,0.23518123
88115.266,doc2vec_500_20_60,0.2433165
87995.0,doc2vec_300_20_60,0.24515292
87001.25,doc2vec_900_20_60,0.24488899
86846.58,doc2vec_700_20_60,0.24447457
86717.67,doc2vec_800_20_60,0.24391963
86688.445,doc2vec_600_20_60,0.237855
85408.375,doc2vec_100_10_60,0.24011292
83411.25,doc2vec_200_10_60,0.24584593
81987.5,doc2vec_300_10_60,0.24595582
81612.09,doc2vec_100_5_40,0.24758022
80641.31,doc2vec_400_10_60,0.24889629
80534.625,doc2vec_500_10_60,0.24051481
80110.625,doc2vec_700_10_60,0.24820417
80038.42,doc2vec_800_10_60,0.23965795
79959.62,doc2vec_600_10_60,0.24451728
79570.56,doc2vec_900_10_60,0.24219432
79485.77,doc2vec_200_5_40,0.24049036
78648.69,doc2vec_300_5_40,0.24249926
77153.5,doc2vec_400_5_40,0.24857874
76759.79,doc2vec_500_5_40,0.24664414
75936.31,doc2vec_800_5_40,0.24944352
75523.44,doc2vec_600_5_40,0.24324232
75494.56,doc2vec_700_5_40,0.24014057
75453.9,doc2vec_900_5_40,0.24955618
71824.48,doc2vec_100_5_60,0.25016588
69877.234,doc2vec_200_5_60,0.25548765
68955.19,doc2vec_300_5_60,0.24923676
68930.7,doc2vec_500_5_60,0.2434112
68778.44,doc2vec_400_5_60,0.256191
67911.055,doc2vec_600_5_60,0.24907865
67357.45,doc2vec_700_5_60,0.2520088
67298.805,doc2vec_800_5_60,0.26029086
66536.67,doc2vec_900_5_60,0.25340712
